"","Torque","Speed","Angle"
"593",-14.702,15.231,-18.84
"594",-14.457,14.841,-18.782
"595",-14.457,15.231,-18.723
"596",-14.702,14.841,-18.665
"597",-14.457,14.841,-18.607
"598",-15.19,14.841,-18.549
"599",-14.946,15.231,-18.489
"600",-14.946,14.841,-18.431
"601",-14.946,15.231,-18.372
"602",-14.702,14.841,-18.314
"603",-14.702,14.841,-18.256
"604",-15.19,15.231,-18.196
"605",-14.946,14.841,-18.138
"606",-14.702,15.231,-18.079
"607",-14.946,14.841,-18.021
"608",-14.946,15.231,-17.961
"609",-14.457,14.841,-17.903
"610",-14.457,14.841,-17.845
"611",-14.702,15.231,-17.786
"612",-14.457,14.841,-17.728
"613",-14.213,14.841,-17.67
"614",-14.213,14.841,-17.612
"615",-14.457,15.231,-17.552
"616",-13.969,14.841,-17.494
"617",-14.457,15.231,-17.435
"618",-14.457,14.841,-17.377
"619",-14.213,15.231,-17.317
"620",-14.213,14.841,-17.259
"621",-13.725,14.841,-17.202
"622",-13.725,14.841,-17.144
"623",-14.213,15.231,-17.084
"624",-13.725,14.841,-17.026
"625",-13.481,15.231,-16.967
"626",-13.969,14.841,-16.909
"627",-13.481,14.841,-16.851
"628",-13.481,15.231,-16.791
"629",-13.969,14.841,-16.733
"630",-13.481,15.231,-16.674
"631",-13.481,14.841,-16.616
"632",-13.481,14.841,-16.558
"633",-13.725,15.231,-16.498
"634",-13.725,14.841,-16.44
"635",-13.725,14.841,-16.382
"636",-13.237,15.231,-16.323
"637",-13.725,14.841,-16.265
"638",-13.481,14.841,-16.207
"639",-13.237,15.231,-16.147
"640",-13.481,14.841,-16.089
"641",-13.725,15.231,-16.03
"642",-13.237,14.841,-15.972
"643",-13.725,14.841,-15.914
"644",-13.725,15.231,-15.854
"645",-13.481,14.45,-15.798
"646",-13.725,15.231,-15.739
"647",-13.237,15.231,-15.679
"648",-13.725,14.841,-15.621
"649",-13.725,15.231,-15.562
"650",-13.481,14.45,-15.505
"651",-13.481,15.231,-15.446
"652",-13.481,15.231,-15.386
"653",-13.481,14.841,-15.328
"654",-13.969,14.841,-15.27
"655",-13.969,15.231,-15.211
"656",-13.725,14.841,-15.153
"657",-13.481,15.231,-15.093
"658",-13.969,14.841,-15.035
"659",-13.969,14.841,-14.977
"660",-13.725,14.841,-14.919
"661",-14.213,15.231,-14.86
"662",-13.725,15.231,-14.8
"663",-13.725,14.841,-14.742
"664",-14.213,14.841,-14.684
"665",-14.213,15.231,-14.625
"666",-13.725,14.841,-14.567
"667",-14.213,14.841,-14.509
"668",-14.213,15.231,-14.449
"669",-14.457,14.841,-14.391
"670",-14.457,14.841,-14.333
"671",-14.457,15.231,-14.274
"672",-14.457,14.841,-14.216
"673",-14.213,14.841,-14.158
"674",-14.213,15.231,-14.099
"675",-14.213,14.841,-14.041
"676",-14.457,14.841,-13.983
"677",-14.702,15.231,-13.923
"678",-14.457,15.231,-13.864
"679",-14.946,14.841,-13.806
"680",-14.702,14.841,-13.748
"681",-15.19,14.841,-13.69
"682",-14.946,15.231,-13.63
"683",-15.434,14.841,-13.572
"684",-14.946,15.231,-13.513
"685",-15.434,14.841,-13.455
"686",-15.19,14.841,-13.397
"687",-15.19,15.231,-13.337
"688",-15.678,14.841,-13.279
"689",-15.678,15.231,-13.22
"690",-15.19,14.841,-13.162
"691",-15.434,14.841,-13.104
"692",-15.678,15.231,-13.044
"693",-15.678,14.841,-12.986
"694",-15.678,14.841,-12.928
"695",-15.434,15.231,-12.869
"696",-15.434,14.841,-12.811
"697",-15.922,15.231,-12.751
"698",-15.678,14.841,-12.694
"699",-15.922,14.841,-12.636
"700",-15.922,15.231,-12.576
"701",-15.678,14.841,-12.518
"702",-15.434,15.231,-12.459
"703",-15.19,14.841,-12.401
"704",-15.678,14.841,-12.343
"705",-15.434,15.231,-12.283
"706",-14.946,14.841,-12.225
"707",-14.946,14.841,-12.167
"708",-15.19,15.231,-12.108
"709",-14.702,14.841,-12.05
"710",-15.19,14.841,-11.992
"711",-14.702,15.231,-11.932
"712",-14.702,14.841,-11.874
"713",-14.457,15.231,-11.815
"714",-14.213,14.841,-11.757
"715",-14.213,14.841,-11.699
"716",-14.702,15.231,-11.639
"717",-14.213,14.841,-11.581
"718",-14.457,15.231,-11.522
"719",-14.457,14.841,-11.464
"720",-14.457,15.231,-11.404
"721",-13.969,14.841,-11.346
"722",-14.213,14.841,-11.288
"723",-14.457,14.841,-11.231
"724",-13.969,15.231,-11.171
"725",-13.969,14.841,-11.113
"726",-13.969,15.231,-11.054
"727",-13.969,14.841,-10.996
"728",-14.213,14.841,-10.938
"729",-14.213,15.231,-10.878
"730",-14.702,14.841,-10.82
"731",-14.457,14.841,-10.762
"732",-14.457,14.841,-10.704
"733",-14.702,15.231,-10.645
"734",-14.702,15.231,-10.585
"735",-14.702,14.841,-10.527
"736",-15.19,14.841,-10.469
"737",-14.702,15.231,-10.41
"738",-14.946,14.841,-10.352
"739",-14.946,14.841,-10.294
"740",-14.946,14.841,-10.236
"741",-14.946,14.841,-10.178
"742",-14.946,15.231,-10.118
"743",-15.19,15.231,-10.059
"744",-15.19,14.841,-10.001
"745",-15.678,15.231,-9.941
"746",-15.678,14.841,-9.883
"747",-15.434,14.841,-9.825
"748",-15.922,15.231,-9.766
"749",-15.678,14.45,-9.71
"750",-16.411,15.231,-9.65
"751",-16.166,14.841,-9.592
"752",-16.166,15.231,-9.533
"753",-16.655,15.231,-9.473
"754",-16.655,14.841,-9.415
"755",-16.655,14.45,-9.359
"756",-16.899,15.231,-9.299
"757",-16.655,14.841,-9.241
"758",-16.899,15.231,-9.182
"759",-16.899,14.841,-9.124
"760",-17.143,15.231,-9.064
"761",-16.899,14.841,-9.006
"762",-17.387,15.231,-8.947
"763",-17.387,14.841,-8.889
"764",-16.655,15.231,-8.829
"765",-16.899,14.45,-8.773
"766",-16.899,15.231,-8.713
"767",-16.899,14.841,-8.655
"768",-17.143,15.231,-8.596
"769",-16.411,15.231,-8.536
"770",-16.411,14.841,-8.478
"771",-16.411,14.45,-8.422
"772",-16.411,14.45,-8.366
"773",-16.166,14.059,-8.311
"774",-16.411,14.059,-8.256
"775",-16.411,13.669,-8.202
"776",-16.166,12.888,-8.152
"777",-15.678,12.107,-8.105
"778",-15.922,11.326,-8.06
"779",-15.922,10.935,-8.018
"780",-15.922,10.545,-7.977
"781",-15.922,10.545,-7.935
"782",-15.678,10.545,-7.894
"783",-15.434,9.373,-7.858
"784",-15.434,8.982,-7.822
"785",-15.922,8.592,-7.789
"786",-15.434,8.592,-7.755
"787",-15.19,8.201,-7.723
"788",-15.922,7.811,-7.693
"789",-15.434,7.42,-7.664
"790",-15.434,7.42,-7.635
"791",-15.922,6.639,-7.609
"792",-15.678,6.639,-7.583
"793",-15.922,6.249,-7.559
"794",-15.434,6.249,-7.534
"795",-15.922,5.858,-7.511
"796",-16.166,5.468,-7.49
"797",-15.678,5.468,-7.468
"798",-15.922,5.468,-7.447
"799",-15.678,5.077,-7.427
"800",-15.678,4.296,-7.411
"801",-16.166,4.686,-7.392
"802",-15.678,4.296,-7.375
"803",-15.678,4.686,-7.357
"804",-15.678,3.905,-7.342
"805",-15.678,4.296,-7.325
"806",-15.922,3.515,-7.311
"807",-15.678,3.515,-7.298
"808",-15.434,3.124,-7.285
"809",-15.678,3.124,-7.273
"810",-15.678,3.515,-7.259
"811",-15.19,3.124,-7.247
"812",-15.434,3.124,-7.235
"813",-15.434,2.734,-7.224
"814",-14.946,2.734,-7.214
"815",-15.19,2.343,-7.205
"816",-14.946,2.734,-7.194
"817",-14.946,2.343,-7.185
"818",-15.434,2.343,-7.176
"819",-15.434,2.343,-7.166
